,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,26-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,900,"1,900.00","1,400.00",Rs./Quintal,25-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,700,"1,700.00","1,200.00",Rs./Quintal,24-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,700,"1,700.00","1,200.00",Rs./Quintal,23-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,700,"1,700.00","1,200.00",Rs./Quintal,21-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,700,"1,700.00","1,200.00",Rs./Quintal,20-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,800,"1,800.00","1,300.00",Rs./Quintal,19-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,800,"1,800.00","1,300.00",Rs./Quintal,18-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,800,"1,800.00","1,300.00",Rs./Quintal,17-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,700,"1,800.00","1,250.00",Rs./Quintal,16-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,800,"1,800.00","1,300.00",Rs./Quintal,14-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,600,"1,700.00","1,150.00",Rs./Quintal,13-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,700,"1,700.00","1,200.00",Rs./Quintal,12-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,700,"1,700.00","1,200.00",Rs./Quintal,11-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,09-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,200.00","2,400.00","1,800.00",Rs./Quintal,07-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,300.00","2,500.00","1,900.00",Rs./Quintal,06-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,400.00","2,600.00","2,000.00",Rs./Quintal,05-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,300.00","2,600.00","1,950.00",Rs./Quintal,04-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,400.00","2,600.00","2,000.00",Rs./Quintal,03-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,400.00","2,600.00","2,000.00",Rs./Quintal,02-03-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,200.00","2,600.00","1,900.00",Rs./Quintal,28-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,400.00","2,600.00","2,000.00",Rs./Quintal,27-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,500.00","2,600.00","2,050.00",Rs./Quintal,26-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,400.00","2,600.00","2,000.00",Rs./Quintal,25-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,400.00","2,600.00","2,000.00",Rs./Quintal,24-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,23-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,500.00","2,700.00","2,100.00",Rs./Quintal,21-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,400.00","2,700.00","2,050.00",Rs./Quintal,20-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,400.00","2,800.00","2,100.00",Rs./Quintal,19-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,500.00","3,000.00","2,250.00",Rs./Quintal,18-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,600.00","3,200.00","2,400.00",Rs./Quintal,17-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,500.00","3,500.00","2,500.00",Rs./Quintal,16-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,600.00","3,200.00","2,400.00",Rs./Quintal,14-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,500.00","3,000.00","2,250.00",Rs./Quintal,13-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,400.00","2,800.00","2,100.00",Rs./Quintal,07-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,400.00","2,800.00","2,100.00",Rs./Quintal,06-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,500.00","2,700.00","2,100.00",Rs./Quintal,05-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,400.00","2,600.00","2,000.00",Rs./Quintal,04-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,400.00","2,600.00","2,000.00",Rs./Quintal,03-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,400.00","2,500.00","2,050.00",Rs./Quintal,02-02-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,400.00","2,600.00","2,000.00",Rs./Quintal,31-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,200.00","2,500.00","1,850.00",Rs./Quintal,30-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,200.00","2,600.00","1,900.00",Rs./Quintal,29-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,500.00","2,800.00","2,150.00",Rs./Quintal,28-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,400.00","3,000.00","2,200.00",Rs./Quintal,27-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,600.00","3,200.00","2,400.00",Rs./Quintal,24-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,500.00","3,200.00","2,350.00",Rs./Quintal,23-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,400.00","3,200.00","2,300.00",Rs./Quintal,22-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,400.00","3,200.00","2,300.00",Rs./Quintal,21-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,600.00","3,200.00","2,400.00",Rs./Quintal,20-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,500.00","3,300.00","2,400.00",Rs./Quintal,19-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,600.00","2,800.00","2,200.00",Rs./Quintal,17-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,400.00","2,600.00","2,000.00",Rs./Quintal,16-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,400.00","2,600.00","2,000.00",Rs./Quintal,15-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,500.00","2,600.00","2,050.00",Rs./Quintal,14-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,400.00","2,500.00","2,050.00",Rs./Quintal,13-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,400.00","2,500.00","2,050.00",Rs./Quintal,12-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,400.00","2,600.00","2,000.00",Rs./Quintal,10-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,400.00","2,800.00","2,100.00",Rs./Quintal,09-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,400.00","3,000.00","2,200.00",Rs./Quintal,08-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,500.00","3,200.00","2,350.00",Rs./Quintal,07-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,500.00","3,200.00","2,350.00",Rs./Quintal,06-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,500.00","3,300.00","2,400.00",Rs./Quintal,05-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,600.00","3,500.00","2,550.00",Rs./Quintal,03-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"1,800.00","3,700.00","2,750.00",Rs./Quintal,02-01-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,FAQ,"2,000.00","3,500.00","2,750.00",Rs./Quintal,01-01-2025
